Participant,Study,Image_CZ,Image_SD,Image_StH,Image_TH,Image_SaH,Image_GR,Voice_CZ,Voice_SD,Voice_StH,Voice_TH,Voice_SaH,Voice_GR,Origin_CZ,Origin_SD,Origin_StH,Origin_TH,Origin_SaH,Origin_GR,Subjective_CZ,Subjective_SD,Subjective_StH,Subjective_TH,Subjective_SaH,Subjective_GR,Story_image,Story_voice,Story_origin,Story_subjective,Story_totalobjective
64,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,3,2,2,1,1.00,1.33,1.50,1.83,1.28
65,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1.00,1.00,1.67,1.33,1.22
66,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,3,2,3,2,2,2,4,2,4,1,1.17,1.50,2.33,2.50,1.67
67,2,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1.00,1.67,1.00,1.50,1.22
68,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,2,1,2,3,3,2,2,2,1.33,1.33,1.67,2.33,1.44
69,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,4,3,3,2,1,1.83,1.67,1.33,2.50,1.61
70,2,1,1,1,2,#NULL!,2,1,1,1,2,#NULL!,2,2,2,2,3,#NULL!,2,2,2,3,4,#NULL!,2,1.40,1.40,2.20,2.60,1.67
71,2,1,1,1,1,#NULL!,1,1,2,1,2,#NULL!,1,2,3,2,2,#NULL!,2,1,2,1,3,#NULL!,3,1.00,1.40,2.20,2.00,1.53
72,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,3,3,1,2,3,1.67,1.17,1.17,2.17,1.33
73,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,2,3,3,2,3,3,2,2.00,1.33,1.33,2.67,1.56
74,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,3,2,2,1.00,1.17,1.50,1.83,1.22
75,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,3,1,1.50,1.00,1.50,1.67,1.33
